parking_segment_id,district_id,district_name,description,fare_description,has_charging_point,geometry_available,legal_answer_eligible,source_text_review_status,source_text_review_note
390,guishan,Guishan,樂學一路(樂學路-文化一路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
391,guishan,Guishan,萬壽路二段4(茶專路-廷美街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
392,guishan,Guishan,東萬壽路309巷(萬壽路一段-東萬壽路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
393,guishan,Guishan,光榮路(光榮路-光峰路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
394,guishan,Guishan,明成街10巷(明成街-大同路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
395,guishan,Guishan,大同路2(德明路-湖山街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
396,guishan,Guishan,大湖一路(大湖一路-忠義路二段489巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
397,guishan,Guishan,大湖一路(機車計時)(大湖一路-忠義路二段489巷),"機車車格 週一至週五 08:00~18:00收費 5元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
398,guishan,Guishan,文光街(文明路-文德二路86巷),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
399,guishan,Guishan,興華一街(興華二街-興華三街),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
39A,guishan,Guishan,文三二街(復興一路-文三一街),"一般小型車格 週一至週五 07:00~20:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
39C,guishan,Guishan,文工一路(文桃路-文信路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
39D,guishan,Guishan,文化二路3(機車計次)(華亞三路-樂善二路),"機車車格 週一至週五 08:00~18:00收費 10元/次,",false,false,false,APPROVED_SOURCE_TEXT,
39E,guishan,Guishan,文德路(文化一路-長庚路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
39F,guishan,Guishan,文德二路(文化一路-文明路),"一般小型車格 週一至週五 08:00~18:00收費 10元/30分鐘,",false,false,false,APPROVED_SOURCE_TEXT,
